
Accounting,https://www.otago.ac.nz/study/subjects/acct
Addiction and Co-existing Disorders,https://www.otago.ac.nz/study/subjects/adco
Advanced Clinical Nursing,https://www.otago.ac.nz/study/subjects/nuac
Advanced Nutrition Practice,https://www.otago.ac.nz/study/subjects/adnp
Aeromedical Retrieval and Transport,https://www.otago.ac.nz/study/subjects/aert
Agricultural Innovation,https://www.otago.ac.nz/study/subjects/agri
Anatomy,https://www.otago.ac.nz/study/subjects/anat
Anthropology,https://www.otago.ac.nz/study/subjects/anth
Applied Geology,https://www.otago.ac.nz/study/subjects/apge
Applied Science,https://www.otago.ac.nz/study/subjects/appliedscience
Aquaculture and Fisheries,https://www.otago.ac.nz/study/subjects/aqfi
Archaeology,https://www.otago.ac.nz/study/subjects/arch
Artificial Intelligence,https://www.otago.ac.nz/study/subjects/arfi
Aviation Medicine,https://www.otago.ac.nz/study/subjects/avme
Biblical Studies,https://www.otago.ac.nz/study/subjects/bibs
Biochemistry,https://www.otago.ac.nz/study/subjects/bioc
Bioengineering,https://www.otago.ac.nz/study/subjects/bioe
Bioethics,https://www.otago.ac.nz/study/subjects/bioethics
Biological Anthropology,https://www.otago.ac.nz/study/subjects/bioa
Biology,https://www.otago.ac.nz/study/subjects/biol
Biomedical Sciences,https://www.otago.ac.nz/study/subjects/biomedical_sciences
Botany,https://www.otago.ac.nz/study/subjects/btny
Buddhist Studies,https://www.otago.ac.nz/study/subjects/budh
Business Administration,https://www.otago.ac.nz/study/subjects/busa
Business Analytics,https://www.otago.ac.nz/study/subjects/buan
Business Law,https://www.otago.ac.nz/study/subjects/blaw
Cardiology,https://www.otago.ac.nz/study/subjects/card
Chaplaincy,https://www.otago.ac.nz/study/subjects/chap
Chemistry,https://www.otago.ac.nz/study/subjects/chem
Child Health,https://www.otago.ac.nz/study/subjects/chhe
Childhood and Youth Studies,https://www.otago.ac.nz/study/subjects/chys
Children's Issues,https://www.otago.ac.nz/study/subjects/chix
Chinese,https://www.otago.ac.nz/study/subjects/chin
Christian Thought and History,https://www.otago.ac.nz/study/subjects/chth
Classics,https://www.otago.ac.nz/study/subjects/clas
Clinical Ethics,https://www.otago.ac.nz/study/subjects/heed
Clinical Pharmacy,https://www.otago.ac.nz/study/subjects/clinical_pharmacy
Cognitive-Behaviour Therapy,https://www.otago.ac.nz/study/subjects/cobe
Cognitive Science,https://www.otago.ac.nz/study/subjects/cogs
Communication Studies,https://www.otago.ac.nz/study/subjects/coms
Community Dentistry,https://www.otago.ac.nz/study/subjects/comd
Community Health Care,https://www.otago.ac.nz/study/subjects/cmhc
Composition,https://www.otago.ac.nz/study/subjects/cpsn
Computational Modelling,https://www.otago.ac.nz/study/subjects/como
Computer and Information Science,https://www.otago.ac.nz/study/subjects/comp
Computer Science,https://www.otago.ac.nz/study/subjects/cosc
Continence Management,https://www.otago.ac.nz/study/subjects/ctmg
Creative Marketing,https://www.otago.ac.nz/study/subjects/crmk
Criminology,https://www.otago.ac.nz/study/subjects/crim
Dance,https://www.otago.ac.nz/study/subjects/danc
Data Science,https://www.otago.ac.nz/study/subjects/dasc
Dental Technology,https://www.otago.ac.nz/study/subjects/dentaltechnology
Dentistry,https://www.otago.ac.nz/study/subjects/dent
Digital Health,https://www.otago.ac.nz/study/subjects/digh
Drugs and Human Health,https://www.otago.ac.nz/study/subjects/drhh
Early Childhood Education,https://www.otago.ac.nz/study/subjects/eced
Earth and Ocean Science,https://www.otago.ac.nz/study/subjects/eaos
Ecology,https://www.otago.ac.nz/study/subjects/ecol
Economics,https://www.otago.ac.nz/study/subjects/econ
Education,https://www.otago.ac.nz/study/subjects/educ
Electronics,https://www.otago.ac.nz/study/subjects/elec
Endodontics,https://www.otago.ac.nz/study/subjects/endo
Energy Science and Technology / Energy Management,https://www.otago.ac.nz/study/subjects/eman
English,https://www.otago.ac.nz/study/subjects/engl
English and Linguistics,https://www.otago.ac.nz/study/subjects/enli
Entrepreneurship,https://www.otago.ac.nz/study/subjects/entr
Environmental Health,https://www.otago.ac.nz/study/subjects/envh
Environmental Management,https://www.otago.ac.nz/study/subjects/envm
Environmental Science,https://www.otago.ac.nz/study/subjects/envs
Environmental Toxicology,https://www.otago.ac.nz/study/subjects/envt
Environment and Society,https://www.otago.ac.nz/study/subjects/envi
Exercise and Sport Science,https://www.otago.ac.nz/study/subjects/exss
Faith-Based Leadership and Management,https://www.otago.ac.nz/study/subjects/fblm
Family and Systems Therapies,https://www.otago.ac.nz/study/subjects/fsth
Film and Media Studies,https://www.otago.ac.nz/study/subjects/fime
Finance,https://www.otago.ac.nz/study/subjects/finc
Food and Agriculture,https://www.otago.ac.nz/study/subjects/foac
Food Science,https://www.otago.ac.nz/study/subjects/fosc
Forensic Biology,https://www.otago.ac.nz/study/subjects/forb
Forensic Analytical Science,https://www.otago.ac.nz/study/subjects/fors
Forensic Mental Health,https://www.otago.ac.nz/study/subjects/menf
French,https://www.otago.ac.nz/study/subjects/fren
Functional Human Biology,https://www.otago.ac.nz/study/subjects/fuhb
Gender Studies,https://www.otago.ac.nz/study/subjects/gend
General Practice,https://www.otago.ac.nz/study/subjects/gena
General Practice (Dentistry),https://www.otago.ac.nz/study/subjects/gepr
Genetics,https://www.otago.ac.nz/study/subjects/gene
Genomic Health and Medicine,https://www.otago.ac.nz/study/subjects/gehm
Geographic Information Systems,https://www.otago.ac.nz/study/subjects/giss
Geography,https://www.otago.ac.nz/study/subjects/geog
Geology,https://www.otago.ac.nz/study/subjects/geol
Geophysics,https://www.otago.ac.nz/study/subjects/gepx
German,https://www.otago.ac.nz/study/subjects/germ
Global Studies,https://www.otago.ac.nz/study/subjects/glbl
Greek,https://www.otago.ac.nz/study/subjects/grek
Health Economics,https://www.otago.ac.nz/study/qualifications/pgcertph
Health Promotion (for PGCertPH),https://www.otago.ac.nz/study/qualifications/pgcertph
Health Sciences,https://www.otago.ac.nz/study/subjects/hasc
Health Services Policy,https://www.otago.ac.nz/study/qualifications/pgcertph
Health Systems and Services,https://www.otago.ac.nz/study/qualifications/pgcertph
Health Management,https://www.otago.ac.nz/study/subjects/hlmt
Hebrew,https://www.otago.ac.nz/study/subjects/hebr
Higher Education,https://www.otago.ac.nz/study/subjects/hedu
History,https://www.otago.ac.nz/study/subjects/hist
Hospitality,https://www.otago.ac.nz/study/subjects/hosp
Human Nutrition,https://www.otago.ac.nz/study/subjects/hunt
Human Resource Management,https://www.otago.ac.nz/study/subjects/hurm
Human Services,https://www.otago.ac.nz/study/subjects/study-human-services-at-otago
Human Services Law,https://www.otago.ac.nz/study/subjects/husl
Immunology,https://www.otago.ac.nz/study/subjects/immu
Indigenous Studies,https://www.otago.ac.nz/study/subjects/inds
Infection and Immunity,https://www.otago.ac.nz/study/subjects/inim
Information and Communications Technology,https://www.otago.ac.nz/study/subjects/ictc
Information Science,https://www.otago.ac.nz/study/subjects/info
International Business,https://www.otago.ac.nz/study/subjects/intb
International Studies,https://www.otago.ac.nz/study/qualifications/mintst
Irish Studies,https://www.otago.ac.nz/study/subjects/irst
Japanese,https://www.otago.ac.nz/study/subjects/japa
Land Planning and Development,https://www.otago.ac.nz/study/subjects/ldpd
Languages and Linguistics,https://www.otago.ac.nz/study/subjects/lali
Latin,https://www.otago.ac.nz/study/subjects/latn
Law,https://www.otago.ac.nz/study/subjects/laws
Linguistics,https://www.otago.ac.nz/study/subjects/ling
Management,https://www.otago.ac.nz/study/subjects/mant
Māori Health,https://www.otago.ac.nz/study/subjects/maoh
Māori Studies,https://www.otago.ac.nz/study/subjects/maor
Marine Environmental Science,https://www.otago.ac.nz/study/subjects/maen
Marine Science,https://www.otago.ac.nz/study/subjects/mari
